MARKET,NUMER SKLEPU,IP
Kozłów 1,10766,10.87.66.100
Pieszyce 1,10769,10.87.69.100
Radostów 1,10770,10.87.70.100
Sypniewo 1,10772,10.87.72.100
Szczaniec 1,10773,10.87.73.100
Zduny 2,10774,10.87.74.100
Zieleniewo 1,10775,10.87.75.100
Żarki 2,10776,10.87.76.100
Żychlin 1,10777,10.87.77.100
Rzepin 1,10778,10.87.78.100
Strzelce Opolskie 1,10779,10.87.79.100
Wolbórz 1,10780,10.87.80.100
Obora 1,10781,10.87.81.100
Rowy 1,10782,10.87.82.100
Drzycim 1,10785,10.87.85.100
Jerzmanowa 1,10787,10.87.87.100
Jordanów 1,10788,10.87.88.100
Kaniów 1,10789,10.87.89.100
Kraszewice 1,10790,10.87.90.100
Lipiany 1,10791,10.87.91.100
Lusowo 1,10792,10.87.92.100
Obryte 1,10793,10.87.93.100
Pełczyce 2,10794,10.87.94.100
Pokrzywnica 1,10795,10.87.95.100
Radlin 1,10796,10.87.96.100
Strzyżew 1,10798,10.87.98.100
Siedlec 1,10800,10.88.0.100
Koziegłowy 1,10801,10.88.1.100
Skokowa 1,10802,10.88.2.100
Czermin (Podk) 1,10805,10.88.5.100
Nieszawa 1,10806,10.88.6.100
Ostroszowice 1,10807,10.88.7.100
Otorowo (Wlkp) 1,10808,10.88.8.100
Pecna 1,10809,10.88.9.100
Pęczniew 1,10810,10.88.10.100
Poraj 1,10811,10.88.11.100
Kluki (Łódź) 1,10812,10.88.12.100
Siesławice 1,10813,10.88.13.100
Trzebiechów 1,10814,10.88.14.100
Tuplice 1,10815,10.88.15.100
Warta Bolesławiecka 1,10816,10.88.16.100
Gliwice 1,10818,10.88.18.100
Topola Królewska 1,10819,10.88.19.100
Tychy 2,10820,10.88.20.100
Bucz 1,10821,10.88.21.100
Budzów (dol)1,10822,10.88.22.100
Chobienia 1,10823,10.88.23.100
Dominowo 1,10824,10.88.24.100
Głogów 2,10825,10.88.25.100
Kolonia Wolanów 1,10826,10.88.26.100
Lądek Zdrój 2,10827,10.88.27.100
Orpiszew 1,10830,10.88.30.100
Szczecinek 1,10831,10.88.31.100
Świercze 1,10832,10.88.32.100
Ostrów 15,10834,10.88.34.100
Benice 1,10835,10.88.35.100
Bychlew 1,10836,10.88.36.100
Golub-Dobrzyń 1,10837,10.88.37.100
Gościno 1,10838,10.88.38.100
Kalisz 5,10839,10.88.39.100
Końskie 1,10840,10.88.40.100
Kostomłoty 1,10841,10.88.41.100
Krosnowice 1,10842,10.88.42.100
Krzęcin 1,10843,10.88.43.100
Miedźna (śl) 1,10844,10.88.44.100
Minkowice Oławskie 1,10845,10.88.45.100
Osiek (dol) 1,10846,10.88.46.100
Ostrów 16,10847,10.88.47.100
Rogoźnica 1,10849,10.88.49.100
Stolno 1,10850,10.88.50.100
Strumień 1,10851,10.88.51.100
Środa Wlkp. 2,10852,10.88.52.100
Tarnowskie Góry 1,10853,10.88.53.100
Bytom 1,10855,10.88.55.100
Gruczno 1,10857,10.88.57.100
Konotop 1,10859,10.88.59.100
Krośniewice 1,10860,10.88.60.100
Łabiszyn 1,10861,10.88.61.100
Łopuszno 1,10862,10.88.62.100
Postoliska 1,10863,10.88.63.100
Skąpe 1,10864,10.88.64.100
Szkaradowo 1,10865,10.88.65.100
Ciepłowody 1,10866,10.88.66.100
ztynek [T],10867,10.88.67.100
Chobienice 1,10868,10.88.68.100
Grzmiąca 1,10870,10.88.70.100
Kamieniec Ząbkowicki 1,10871,10.88.71.100
Mała Nieszawka 1,10872,10.88.72.100
Mirosławiec 1,10873,10.88.73.100
Opatów Wlkp. 1,10874,10.88.74.100
Toszek 1,10876,10.88.76.100
Tuczno (kuj-pom) 1,10877,10.88.77.100
Wielowieś 1,10879,10.88.79.100
Zalasewo 1,10881,10.88.81.100
Grębocice 1,10882,10.88.82.100
Częstochowa 3,10884,10.88.84.100
Goszcz 1,10885,10.88.85.100
Ińsko 1,10886,10.88.86.100
Koniecpol 1,10887,10.88.87.100
Krzyż Wielkopolski 1,10888,10.88.88.100
Książenice 1,10889,10.88.89.100
Ostrowiec Świętokrzyski 1,10890,10.88.90.100
Ujście 1,10893,10.88.93.100
Wieniec 1,10894,10.88.94.100
Złotoryja 1,10896,10.88.96.100
Jelenia Góra 7,10897,10.88.97.100
Łódź 6,10898,10.88.98.100
Jarocin 5,10899,10.88.99.100
Goleszów 1,10900,10.89.0.100
Jabłonowo Pomorskie 1,10901,10.89.1.100
Jarocin 6,10902,10.89.2.100
Drużbice Kolonia 1,10903,10.89.3.100
Leśnica 1,10905,10.89.5.100
Przysucha 1,10906,10.89.6.100
Sieraków (Wlkp) 1,10908,10.89.8.100
Skórka 1,10909,10.89.9.100
Sławno (Sławieński) 1,10910,10.89.10.100
Sośno 1,10911,10.89.11.100
Szczawin Kościelny 1,10912,10.89.12.100
Strzelce 1,10913,10.89.13.100
Boruja Kościelna 1,10914,10.89.14.100
Chróścice 1,10915,10.89.15.100
Dobra (zach) 1,10916,10.89.16.100
Janów Ruszki 1,10917,10.89.17.100
Leoncin 1,10919,10.89.19.100
Mała Wieś 1,10920,10.89.20.100
Nowogródek Pomorski 1,10921,10.89.21.100
Pokój 1,10923,10.89.23.100
Rożnowo 1,10924,10.89.24.100
Skarżysko-Kamienna 2,10925,10.89.25.100
Tczów Średni 1,10926,10.89.26.100
Tuchorza 1,10927,10.89.27.100
Barwice 1,10928,10.89.28.100
Domaszków 1,10929,10.89.29.100
Główczyce 1,10930,10.89.30.100
Lubin 2,10931,10.89.31.100
Sośnicowice 1,10932,10.89.32.100
Antoniów 1,10933,10.89.33.100
Biadki 1,10934,10.89.34.100
Bierzglinek 1,10935,10.89.35.100
Brwinów 1,10937,10.89.37.100
Bystra 1,10938,10.89.38.100
Chojna 1,10939,10.89.39.100
Ciechów 1,10940,10.89.40.100
Dobrodzień 1,10941,10.89.41.100
Drawsko Pomorskie 1,10942,10.89.42.100
Gniezno 2,10943,10.89.43.100
Góra Św. Małgorzaty 1,10945,10.89.45.100
Sławno (Sławieński) 3,10946,10.89.46.100
Krosno Odrzańskie 1,10947,10.89.47.100
Krotoszyn 10,10948,10.89.48.100
Lądek 1,10949,10.89.49.100
Lipinki Łużyckie 1,10950,10.89.50.100
Łagów (lub) 1,10951,10.89.51.100
Oborniki (Wlkp) 1,10952,10.89.52.100
Opatów Śląski 1,10954,10.89.54.100
Pniewy 2,10955,10.89.55.100
Połupin 1,10956,10.89.56.100
Przelewice 1,10957,10.89.57.100
Pułtusk 1,10958,10.89.58.100
Siedlisko (Wlkp) 1,10961,10.89.61.100
Szemud 1,10962,10.89.62.100
Tarnówka 1,10963,10.89.63.100
Zławieś Wielka 1,10965,10.89.65.100
Żabów 1,10966,10.89.66.100
Żędowice 1,10967,10.89.67.100
Wroniawy 1,10968,10.89.68.100
Bełchatów 3,10970,10.89.70.100
Bieżuń 1,10971,10.89.71.100
Bytom 2,10972,10.89.72.100
Czaplinek 1,10973,10.89.73.100
Gulcz 1,10975,10.89.75.100
Jakubów (Maz) 1,10976,10.89.76.100
Jelenia Góra 2,10977,10.89.77.100
Kiełpino 1,10978,10.89.78.100
Koziegłowy (Śl) 1,10979,10.89.79.100
Kutno 3,10980,10.89.80.100
Murowaniec 1,10981,10.89.81.100
Oborniki Śląskie 2,10982,10.89.82.100
Opatów (świet) 1,10983,10.89.83.100
Ozorków 1,10984,10.89.84.100
Pietrzykowice (śl) 1,10985,10.89.85.100
Pobiedziska 1,10986,10.89.86.100
Skierniewice 1,10990,10.89.90.100
Starcza 1,10992,10.89.92.100
Trzebień 1,10994,10.89.94.100
Wysocko Wielkie 1,10995,10.89.95.100
Zakroczym 1,10996,10.89.96.100
Bodzanowice 1,10999,10.89.99.100
Janików 1,11000,10.80.100.100
Karsko (Myśliborski) 1,11001,10.80.101.100
Człuchów 2,11002,10.80.102.100
Drezdenko 1,11004,10.80.104.100
Golina (Konin) 1,11005,10.80.105.100
Jemielnica 1,11006,10.80.106.100
Leszcze (świe) 1,11009,10.80.109.100
Niegosławice 1,11010,10.80.110.100
Nowe Miasto (maz) 1,11012,10.80.112.100
Ostrów 2,11014,10.80.114.100
Piotrków Trybunalski 2,11015,10.80.115.100
Samsonów 1,11017,10.80.117.100
Sokołowo 1,11018,10.80.118.100
Działki Suskowolskie 1,11019,10.80.119.100
Sypniewo (kuj-pom) 1,11020,10.80.120.100
Szamotuły 1,11021,10.80.121.100
Bielice 1,11024,10.80.124.100
idów 2 [P],11025,10.80.125.100
Borowie 1,11026,10.80.126.100
Bulkowo Butary 1,11028,10.80.128.100
Ciążeń 1,11029,10.80.129.100
Dąbrówka Wlkp 1,11030,10.80.130.100
Lewków 1,11034,10.80.134.100
Łowicz 1,11035,10.80.135.100
Miechów - Charsznica 1,11036,10.80.136.100
Mrozy 1,11037,10.80.137.100
Namysłów 2,11038,10.80.138.100
Nowa Wieś (Wlkp) 1,11039,10.80.139.100
Stromiec 1,11040,10.80.140.100
Unisław 1,11042,10.80.142.100
Zielona Góra 2,11044,10.80.144.100
Czarna Woda 1,11046,10.80.146.100
Droszków 1,11047,10.80.147.100
Dygowo 1,11048,10.80.148.100
Gniewoszów 1,11049,10.80.149.100
Gozdowo 1,11051,10.80.151.100
Jankowice 2,11052,10.80.152.100
Kłomnice 1,11053,10.80.153.100
Rawicz 2,11055,10.80.155.100
Koźminek 1,11056,10.80.156.100
Wolin 1,11057,10.80.157.100
Bojano 1,11058,10.80.158.100
Dobrzelów 1,11059,10.80.159.100
Jawor 2,11060,10.80.160.100
Kotlin 2,11061,10.80.161.100
Krzymów 1,11062,10.80.162.100
Porajów 1,11063,10.80.163.100
Strykowo 1,11065,10.80.165.100
Wierzbno 1,11066,10.80.166.100
Zblewo 1,11067,10.80.167.100
Zielona Góra 4,11068,10.80.168.100
Żukowo 1,11069,10.80.169.100
Baćkowice 1,11071,10.80.171.100
Brodnica 1,11072,10.80.172.100
Brzeźnica 1,11073,10.80.173.100
Bytom 4,11074,10.80.174.100
Ciecierzyce 1,11075,10.80.175.100
Długołęka 1,11076,10.80.176.100
Gorzyce Wielkie 2,11077,10.80.177.100
Kobylanka 1,11079,10.80.179.100
Lutomia Dolna 1,11081,10.80.181.100
Łódź 9,11082,10.80.182.100
Pietrzykowice (dol) 1,11084,10.80.184.100
Prabuty 1,11086,10.80.186.100
Szczukowice 1,11090,10.80.190.100
Trzebiatów 1,11092,10.80.192.100
Wierzchowo 1,11093,10.80.193.100
Krotoszyn 11,11094,10.80.194.100
Adamowo 1,11095,10.80.195.100
Bełchatów 4,11096,10.80.196.100
Bestwina 1,11097,10.80.197.100
Bobrowice 1,11098,10.80.198.100
Brenno 1,11099,10.80.199.100
Brojce (ZachPom) 1,11100,10.81.100.100
Bydgoszcz 2,11101,10.81.101.100
Czempiń 1,11104,10.81.104.100
Gaszowice 1,11110,10.81.110.100
Gniewomirowice 1,11111,10.81.111.100
Gubin 1,11114,10.81.114.100
Kaliska 1,11118,10.81.118.100
Kamyk 1,11119,10.81.119.100
Kaszczor 1,11121,10.81.121.100
Kołodziejewo 1,11123,10.81.123.100
Konary 1,11125,10.81.125.100
Koneck 1,11126,10.81.126.100
Koszalin 1,11127,10.81.127.100
Kościan 3,11128,10.81.128.100
Łambinowice 1,11131,10.81.131.100
Łódź 7,11132,10.81.132.100
Łódź 1,11133,10.81.133.100
Mokrzeszów 1,11136,10.81.136.100
Moskorzew 1,11137,10.81.137.100
Mroczno 1,11138,10.81.138.100
Niałek Wielki 1,11139,10.81.139.100
Niegów 1,11140,10.81.140.100
Nielubia 1,11141,10.81.141.100
Nochowo 1,11142,10.81.142.100
Piotrków Trybunalski 3,11146,10.81.146.100
Potęgowo 1,11147,10.81.147.100
Racibórz 3,11153,10.81.153.100
Rudniki (opo) 1,11154,10.81.154.100
Ruszów 1,11155,10.81.155.100
Rymań 1,11156,10.81.156.100
Rzeszotary 1,11157,10.81.157.100
Secemin 1,11158,10.81.158.100
Sławoborze 1,11161,10.81.161.100
Somonino 1,11164,10.81.164.100
Stare Kozłowice 1,11165,10.81.165.100
Stradomia Wierzchnia 1,11166,10.81.166.100
Stypułów 1,11168,10.81.168.100
Świdwin 1,11170,10.81.170.100
Świekatowo 1,11171,10.81.171.100
Świerzno 1,11172,10.81.172.100
Trzcińsko Zdrój 1,11174,10.81.174.100
Widziszewo 1,11176,10.81.176.100
Wiśniewo 1,11177,10.81.177.100
Witunia 1,11178,10.81.178.100
Zielona (maz) 1,11184,10.81.184.100
Bolesław 1,11186,10.81.186.100
Bukowice 1,11187,10.81.187.100
Bytoń 1,11188,10.81.188.100
Czapury 1,11189,10.81.189.100
Kiełczygłów 1,11193,10.81.193.100
Małobądz 1,11194,10.81.194.100
Płońsk 1,11196,10.81.196.100
Żuromin 1,11200,10.82.100.100
Pierzchnica 1,11201,10.82.101.100
Grudusk 1,11202,10.82.102.100
Wilków 1,11203,10.82.103.100
Bytnica1,11204,10.82.104.100
Kamień Śląski 1,11206,10.82.106.100
Lipiny 1,11208,10.82.108.100
Pszów 1,11209,10.82.109.100
Rewal 1,11210,10.82.110.100
Wałycz 1,11212,10.82.112.100
Wierzchowo (Szczecinek) 1,11213,10.82.113.100
Włoszczowa 2,11214,10.82.114.100
Klembów 1,11216,10.82.116.100
Ostaszewo (pom) 1,11218,10.82.118.100
Skwierzyna 1,11220,10.82.120.100
Wilkowo Polskie 1,11222,10.82.122.100
Wodzisław Śląski 1,11223,10.82.123.100
Bydlin 1,11224,10.82.124.100
Kisielice 1,11226,10.82.126.100
Krobia (kuj-pom) 1,11227,10.82.127.100
Górzno 1,11232,10.82.132.100
Boniewo (KujPom) 1,11233,10.82.133.100
Dąbrowa (łódź) 1,11235,10.82.135.100
Gnojno (świe) 1,11236,10.82.136.100
Konieczno 1,11237,10.82.137.100
Konarzew 1,11238,10.82.138.100
Młynek 1,11240,10.82.140.100
Ostrów 1,11241,10.82.141.100
Wąsowo 1,11244,10.82.144.100
Dąbie (lub) 1,11245,10.82.145.100
Grodzisk Wlkp. 3,11247,10.82.147.100
Jordanowo 1,11248,10.82.148.100
Krzycko Wielkie 1,11249,10.82.149.100
Mikołajki Pomorskie 1,11251,10.82.151.100
Mosty 1,11252,10.82.152.100
Zakrzewo (Poz) 1,11256,10.82.156.100
Żagań 2,11257,10.82.157.100
Baruchowo 1,11258,10.82.158.100
Czermin 1,11259,10.82.159.100
Janków Drugi 1,11260,10.82.160.100
Jaraczewo 1,11261,10.82.161.100
Kamień (Wlkp) 1,11263,10.82.163.100
Kowalew 1,11266,10.82.166.100
Miłoradz 1,11269,10.82.169.100
Raciążek 1,11271,10.82.171.100
Resko 1,11273,10.82.173.100
Brójce 1,11274,10.82.174.100
Chełmża 1,11275,10.82.175.100
Januszewice 1 (łódź),11276,10.82.176.100
Lemierzyce 1,11278,10.82.178.100
Lubanie 1,11279,10.82.179.100
Mycielin 1,11280,10.82.180.100
Skomlin 1,11281,10.82.181.100
Świebodzice 1,11282,10.82.182.100
Iłowo Wieś 1,11283,10.82.183.100
Lwówek Wlkp. 2,11286,10.82.186.100
Radawnica 1,11289,10.82.189.100
Stegna (pom) 1,11291,10.82.191.100
Święta 1,11293,10.82.193.100
Zawidz Kościelny 1,11294,10.82.194.100
Boguszów Gorce 2,11295,10.82.195.100
Gułtowy 1,11296,10.82.196.100
Iłów (maz) 1,11297,10.82.197.100
Stegna (maz) 1,11298,10.82.198.100
Lubiszyn 1,11299,10.82.199.100
Ostrówek (maz) 1,11301,10.83.101.100
Sadlinki 1,11302,10.83.102.100
Solec nad Wisłą 1,11303,10.83.103.100
Szczekociny 1,11304,10.83.104.100
Trzcianka 1,11307,10.83.107.100
Tyniec Mały 1,11308,10.83.108.100
Brzeziny (wlkp) 1,11312,10.83.112.100
Chrzan 1,11313,10.83.113.100
Jastrowie 3,11316,10.83.116.100
Liw 1,11318,10.83.118.100
Bielawa 1,11323,10.83.123.100
Charbrowo 1,11324,10.83.124.100
Kurzelów 1,11329,10.83.129.100
Ostrów 3,11331,10.83.131.100
Prószków (opo) 1,11332,10.83.132.100
Zbiczno 1,11334,10.83.134.100
Konarzewo (Poznański) 1,11339,10.83.139.100
Kwaśniów Dolny 1,11340,10.83.140.100
Platerówka 1,11342,10.83.142.100
Pyzdry 2,11343,10.83.143.100
Strączno 1,11346,10.83.146.100
Subkowy 1,11347,10.83.147.100
Czerwińsk nad Wisłą 1,11349,10.83.149.100
Chodkowo Działki 1,11350,10.83.150.100
Chudoba 1,11353,10.83.153.100
Drezdenko 2,11354,10.83.154.100
Jasieniec 1,11355,10.83.155.100
Szymanów 1,11356,10.83.156.100
Witoszyn 1,11357,10.83.157.100
Zielona Góra 3,11358,10.83.158.100
Gronowo 1,11360,10.83.160.100
Borawe 1,11363,10.83.163.100
Ceków 1,11365,10.83.165.100
Czajków 1,11366,10.83.166.100
Czerwieńsk 1,11367,10.83.167.100
Lubomia 1,11371,10.83.171.100
Łukowa 1,11372,10.83.172.100
Maszewo (lub) 1,11373,10.83.173.100
Pleszew 4,11375,10.83.175.100
Radowo Małe 1,11376,10.83.176.100
Schodnia 1,11377,10.83.177.100
Serock (maz) 1,11378,10.83.178.100
Rykoszyn 1,11390,10.83.190.100
Strawczyn 1,11392,10.83.192.100
Szczyty 1,11393,10.83.193.100
Trzcinica 1,11394,10.83.194.100
Ustanów 1,11395,10.83.195.100
Wodzisław 1,11396,10.83.196.100
Żyrardów 3,11397,10.83.197.100
Borne Sulinowo 1,11398,10.83.198.100
Baboszewo 1,11399,10.83.199.100
Chojnice 1,11401,10.84.101.100
Chorzów 1,11402,10.84.102.100
Czerwionka Leszczyny 1,11403,10.84.103.100
Dzierżoniów 1,11404,10.84.104.100
Ostrów Mazowiecka 1,11405,10.84.105.100
Kazanów 1,11408,10.84.108.100
Międzyrzecz - Wybudowanie 1,11411,10.84.111.100
Ludwikowice Kłodzkie 1,11412,10.84.112.100
Mroczeń 1,11416,10.84.116.100
Mysłowice 1,11417,10.84.117.100
Ogonowice 1,11418,10.84.118.100
Skórzewo 1,11422,10.84.122.100
Śmigiel 2,11425,10.84.125.100
Straszków (Kościelec) 1,11426,10.84.126.100
Warnice 1,11427,10.84.127.100
Baranów 1,11428,10.84.128.100
Bełchatów 5,11429,10.84.129.100
Brańszczyk 1,11430,10.84.130.100
Piaski (Czarn-Trzci) 1,11434,10.84.134.100
Koźminiec 1,11436,10.84.136.100
Kuźnica Czarnkowska 1,11437,10.84.137.100
Leszcze (Łódź) 1,11438,10.84.138.100
Lipowiec Kościelny 1,11440,10.84.140.100
Niepart 1,11445,10.84.145.100
Ożarów (łódź) 1,11446,10.84.146.100
Skierniewice 2,11448,10.84.148.100
Stare Czarnowo,11450,10.84.150.100
Strzelce Wielkie 1,11451,10.84.151.100
Zalewo (Iławski) 1,11453,10.84.153.100
Borek Wlkp. 2,11454,10.84.154.100
Brodnica (Wlkp) 1,11455,10.84.155.100
Cielądz 1,11456,10.84.156.100
Czerniewice 1,11457,10.84.157.100
Jaktorów Kolonia 1,11459,10.84.159.100
Koninko 1,11460,10.84.160.100
Lubliniec 2,11461,10.84.161.100
Modliszewice 1,11463,10.84.163.100
Niegosław 1,11464,10.84.164.100
Nietkowice 1,11465,10.84.165.100
Parzęczew 1,11467,10.84.167.100
Raczyce 1,11468,10.84.168.100
Turza Śląska 1,11470,10.84.170.100
Wierzchucin Królewski 1,11471,10.84.171.100
Borysławice 1,11474,10.84.174.100
Folwark (Rawicki) 1,11476,10.84.176.100
Goślinowo 1,11477,10.84.177.100
Boszkowo-Letnisko 1,11478,10.84.178.100
Jasieniec Iłżecki Górny 1,11479,10.84.179.100
Ligota (Ostrowski) 1,11482,10.84.182.100
Ligota Piękna 1,11483,10.84.183.100
Mnichów (święt) 1,11485,10.84.185.100
Mściszewice 1,11486,10.84.186.100
Sarbinowo 1,11490,10.84.190.100
Słupia Kapitulna 1,11491,10.84.191.100
Sztum 1,11494,10.84.194.100
Borzęciczki 1,11498,10.84.198.100
Bytom 3,11499,10.84.199.100
Kobiór 1,11502,10.85.102.100
Komorniki 1,11503,10.85.103.100
Konarzyny 1,11504,10.85.104.100
Konikowo 1,11505,10.85.105.100
Kostrzyn 1,11506,10.85.106.100
Kurzeszyn 1,11507,10.85.107.100
Lewin Brzeski 1,11509,10.85.109.100
Malbork 1,11512,10.85.112.100
Poświętne (Maz) 1,11514,10.85.114.100
Staw (wlkp) 1,11517,10.85.117.100
Sulęcin 1,11518,10.85.118.100
Szubin 1,11519,10.85.119.100
Wieleń 2,11521,10.85.121.100
Biskupice Ołoboczne 1,11522,10.85.122.100
Gostycyn 1,11524,10.85.124.100
Gryfice 2,11525,10.85.125.100
Jezierzyce (Pom) 1,11526,10.85.126.100
Krasowiec 1,11530,10.85.130.100
Frydrychowice 1,11533,10.85.133.100
Pęzino 1,11536,10.85.136.100
Prochowice 1,11537,10.85.137.100
Przybiernów 1,11538,10.85.138.100
Rzeczniów 1,11540,10.85.140.100
Rzekuń 1,11541,10.85.141.100
Świnice Warckie 1,11542,10.85.142.100
Węgliniec 1,11543,10.85.143.100
września 3,11544,10.85.144.100
Żagań 1,11546,10.85.146.100
Bukowa (Włoszczowski) 1,11548,10.85.148.100
Kiełczewo 1,11549,10.85.149.100
Piekary Śląskie 2,11554,10.85.154.100
Racławice Śląskie 1,11555,10.85.155.100
Trzcianka 2,11557,10.85.157.100
Wieleń 3,11558,10.85.158.100
Biskupiec 1,11559,10.85.159.100
Janków Przygodzki 1,11562,10.85.162.100
Komorowo (Ostrowski) 1,11563,10.85.163.100
Małdyty 1,11564,10.85.164.100
Mława 1,11565,10.85.165.100
Mogilno (KujPom) 1,11566,10.85.166.100
Piotrków Trybunalski 1,11568,10.85.168.100
Przecław 1,11569,10.85.169.100
Trzemeszno Lubuskie 1,11571,10.85.171.100
Warszawianka 1,11572,10.85.172.100
Zatory 1,11573,10.85.173.100
Bieruń 1,11574,10.85.174.100
Kunowo (gost) 1,11577,10.85.177.100
Szamotuły 2,11581,10.85.181.100
Zbąszyń 2,11583,10.85.183.100
Drawski Młyn 1,11586,10.85.186.100
Leśniewo 1,11589,10.85.189.100
Lutocin 1,11590,10.85.190.100
Nowa Ruda Słupiec 1,11592,10.85.192.100
Odrzywół 1,11593,10.85.193.100
Pakość 2,11594,10.85.194.100
Piekoszów 1,11595,10.85.195.100
Złotoria 1,11597,10.85.197.100
Biała 1 (łódź),11598,10.85.198.100
Chełmno 1,11600,10.86.100.100
Dąbrówno 1,11602,10.86.102.100
Dłużec 1,11603,10.86.103.100
Gola 1,11604,10.86.104.100
Gostynin 1,11605,10.86.105.100
Gubin 2,11606,10.86.106.100
Łowicz 2,11609,10.86.109.100
Nieżychowice 1,11610,10.86.110.100
Smardzewice 1,11613,10.86.113.100
Stare Oborzyska 1,11614,10.86.114.100
Stolec 1,11615,10.86.115.100
Szklary Górne 1,11616,10.86.116.100
Wągrowiec 2,11617,10.86.117.100
Wilkanowo 1,11619,10.86.119.100
Wołczkowo 1,11621,10.86.121.100
Zadzim 1,11622,10.86.122.100
Zduńska Wola 4,11623,10.86.123.100
Gubin 4,11624,10.86.124.100
Sieradz 3,11625,10.86.125.100
Bieżyń 1,11627,10.86.127.100
Bolewice 1,11628,10.86.128.100
Chrzypsko Wielkie 1,11629,10.86.129.100
Chwałkowo Kościelne 1,11630,10.86.130.100
Czernica 1,11632,10.86.132.100
Grudziądz 2,11634,10.86.134.100
Kobylin 2,11636,10.86.136.100
Kodrąb 1,11637,10.86.137.100
Łask 2,11638,10.86.138.100
Ołobok 1,11642,10.86.142.100
Otwock Mały 1,11643,10.86.143.100
Paczkowo 1,11644,10.86.144.100
Perzów 1,11645,10.86.145.100
Poniec 1,11647,10.86.147.100
Pyrzyce 1,11649,10.86.149.100
Siekierki Wielkie 1,11651,10.86.151.100
Słupia (świe) 1,11653,10.86.153.100
Świdnik 1,11655,10.86.155.100
Trzebież 1,11656,10.86.156.100
Białogard 1,11659,10.86.159.100
Dziwnów 1,11664,10.86.164.100
Jastrzębie-Zdrój 1,11665,10.86.165.100
Słupia (Zawidz) 1,11666,10.86.166.100
Mierzyce 1,11668,10.86.168.100
Nowiny Wielkie 1,11670,10.86.170.100
Pławna Dolna 1,11671,10.86.171.100
Pogorzela 1,11672,10.86.172.100
Rusko 1,11674,10.86.174.100
Witoszów Dolny 1,11677,10.86.177.100
Wójcin 1,11678,10.86.178.100
Zabrze 2,11679,10.86.179.100
Ruda Śląska 3,11680,10.86.180.100
Bobrówko (Strzel-Drezd) 1,11681,10.86.181.100
Borzęcin 1,11683,10.86.183.100
Dobrzyków 1,11685,10.86.185.100
Dretyń 1,11686,10.86.186.100
Gołębiew 1,11688,10.86.188.100
Jabłonna (Grodziski) 1,11691,10.86.191.100
Koźmin Wlkp. 2,11694,10.86.194.100
Marzęcino 1,11701,10.87.101.100
